weight_g,screen_inches,announced_year,main_camera_mp,ram_gb,storage_gb,battery_mah,has_nfc,has_5g,wlan_dual_band,has_gps,card_slot,brand_price_tier,price_range
196.0,6.67,2020.0,16.0,4.0,128.0,5000.0,0,0,1,1,1,168.15964292355375,0
188.0,6.52,2020.0,8.0,4.0,64.0,5000.0,0,0,0,1,1,159.03447210743803,0
164.0,6.19,2018.0,16.0,3.0,32.0,4000.0,0,0,0,1,1,161.76428579241616,0
164.0,6.19,2018.0,8.0,2.0,32.0,4000.0,0,0,0,1,1,164.52964292355372,0
130.0,4.5,2018.0,5.0,1.0,8.0,2000.0,0,0,0,1,1,159.03447210743803,0
170.0,5.2,2018.0,13.0,3.0,32.0,5000.0,0,0,0,1,1,168.15964292355375,0
170.0,5.2,2018.0,8.0,2.0,16.0,5000.0,0,0,0,1,1,164.52964292355372,0
170.0,5.2,2017.0,5.0,1.0,16.0,5000.0,0,0,0,1,1,167.6627820247934,0
141.0,5.2,2017.0,13.0,4.0,64.0,2730.0,0,0,0,1,1,160.78061230814643,2
150.0,5.0,2017.0,5.0,3.0,16.0,2500.0,0,0,0,1,1,168.15964292355375,0
130.0,4.5,2017.0,5.0,1.0,8.0,2000.0,0,0,0,1,1,164.52964292355372,0
120.0,4.0,2017.0,5.0,1.0,8.0,1600.0,0,0,0,1,1,161.76428579241616,0
160.0,5.7,2017.0,13.0,3.0,32.0,2980.0,0,0,0,1,1,167.6627820247934,0
157.0,5.2,2017.0,13.0,3.0,32.0,3000.0,0,0,0,1,1,168.15964292355375,0
150.0,5.0,2017.0,8.0,2.0,16.0,2500.0,0,0,0,1,1,159.03447210743803,0
160.0,5.0,2017.0,13.0,3.0,16.0,3050.0,0,0,0,1,1,159.03447210743803,1
162.0,5.5,2017.0,13.0,3.0,32.0,4000.0,0,0,0,1,1,161.76428579241616,1
164.0,5.5,2017.0,13.0,4.0,128.0,3200.0,0,0,0,1,1,161.76428579241616,3
140.0,4.5,2017.0,5.0,1.0,8.0,1800.0,0,0,0,1,1,159.03447210743803,0
156.0,4.5,2016.0,5.0,1.0,8.0,1800.0,0,0,0,1,1,161.76428579241616,0
165.0,5.0,2016.0,5.0,1.0,8.0,2000.0,0,0,0,1,1,161.76428579241616,0
151.0,5.0,2016.0,8.0,2.0,16.0,2000.0,0,0,0,1,1,168.15964292355375,0
175.0,5.5,2016.0,8.0,1.0,8.0,2500.0,0,0,0,1,1,161.76428579241616,0
162.0,5.5,2016.0,13.0,3.0,32.0,3000.0,0,0,1,1,1,167.6627820247934,0
128.0,5.0,2015.0,13.0,3.0,16.0,2100.0,0,0,0,1,1,159.03447210743803,0
145.0,5.5,2015.0,13.0,3.0,16.0,2500.0,0,0,0,1,1,159.03447210743803,1
155.0,5.0,2015.0,8.0,2.0,16.0,2000.0,0,0,0,1,1,159.03447210743803,0
143.0,5.2,2015.0,13.0,3.0,16.0,2900.0,0,0,0,1,1,159.03447210743803,1
135.0,5.0,2015.0,13.0,1.0,8.0,2500.0,0,0,0,1,1,167.6627820247934,0
144.0,5.0,2015.0,8.0,1.0,8.0,2800.0,0,0,0,1,1,161.76428579241616,0
97.0,4.8,2015.0,8.0,2.0,16.0,2000.0,0,0,0,1,0,167.6627820247934,2
136.0,4.5,2015.0,5.0,1.0,8.0,1700.0,0,0,0,1,1,160.78061230814643,0
143.0,5.0,2015.0,13.0,2.0,16.0,2400.0,0,0,0,1,1,159.03447210743803,1
134.0,4.7,2015.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,160.78061230814643,0
170.0,5.0,2015.0,8.0,2.0,8.0,3000.0,0,0,0,1,1,164.52964292355372,0
138.0,4.5,2015.0,8.0,1.0,8.0,2000.0,0,0,0,1,1,159.03447210743803,0
