mobile_wt,ram_gb,fc,pc,num_rear_cameras,battery_power,screen_size,launched_year,price_range,brand_Apple,brand_Google,brand_Honor,brand_Huawei,brand_Infinix,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_POCO,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,6.0,12.0,50.0,2,4400.0,6.1,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,50.0,2,4400.0,6.1,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,50.0,2,4400.0,6.1,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,6.0,12.0,48.0,2,4500.0,6.7,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,6.0,12.0,48.0,2,4400.0,6.1,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,48.0,2,4400.0,6.1,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,48.0,2,4400.0,6.1,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,6.0,12.0,48.0,2,4500.0,6.7,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,6.0,12.0,48.0,2,4200.0,6.1,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,48.0,2,4200.0,6.1,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.0,8.0,12.0,48.0,2,4200.0,6.1,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,6.0,12.0,48.0,2,4500.0,6.7,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.0,8.0,12.0,48.0,2,4500.0,6.7,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
