company,mobile_wt,ram_gb,fc,pc,num_rear_cameras,battery_power,screen_size,launched_year,price_usd,price_range
Apple,174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,799.0,2
Apple,174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,849.0,2
Apple,174.0,6.0,12.0,48.0,1,3600.0,6.1,2024,899.0,2
Apple,203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,899.0,2
Apple,203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,949.0,3
Apple,203.0,6.0,12.0,48.0,1,4200.0,6.7,2024,999.0,3
Apple,206.0,6.0,12.0,50.0,2,4400.0,6.1,2024,999.0,3
Apple,206.0,8.0,12.0,50.0,2,4400.0,6.1,2024,1049.0,3
Apple,206.0,8.0,12.0,50.0,2,4400.0,6.1,2024,1099.0,3
Apple,221.0,6.0,12.0,48.0,2,4500.0,6.7,2024,1099.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2024,1199.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2024,1299.0,3
Apple,171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,799.0,2
Apple,171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,849.0,2
Apple,171.0,6.0,12.0,48.0,1,3200.0,6.1,2023,949.0,3
Apple,203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,899.0,2
Apple,203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,999.0,3
Apple,203.0,6.0,12.0,48.0,1,4300.0,6.7,2023,1049.0,3
Apple,206.0,6.0,12.0,48.0,2,4400.0,6.1,2023,1099.0,3
Apple,206.0,8.0,12.0,48.0,2,4400.0,6.1,2023,1199.0,3
Apple,206.0,8.0,12.0,48.0,2,4400.0,6.1,2023,1299.0,3
Apple,221.0,6.0,12.0,48.0,2,4500.0,6.7,2023,1199.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2023,1299.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2023,1399.0,3
Apple,172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,799.0,2
Apple,172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,849.0,2
Apple,172.0,6.0,12.0,12.0,2,3200.0,6.1,2022,949.0,3
Apple,203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,899.0,2
Apple,203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,999.0,3
Apple,203.0,6.0,12.0,12.0,2,4325.0,6.7,2022,1049.0,3
Apple,206.0,6.0,12.0,48.0,2,4200.0,6.1,2022,1099.0,3
Apple,206.0,8.0,12.0,48.0,2,4200.0,6.1,2022,1199.0,3
Apple,206.0,8.0,12.0,48.0,2,4200.0,6.1,2022,1299.0,3
Apple,221.0,6.0,12.0,48.0,2,4500.0,6.7,2022,1199.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2022,1299.0,3
Apple,221.0,8.0,12.0,48.0,2,4500.0,6.7,2022,1399.0,3
Apple,140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,699.0,2
Apple,140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,799.0,2
Apple,140.0,4.0,12.0,12.0,1,2438.0,5.4,2021,899.0,2
Apple,174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,799.0,2
Apple,174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,899.0,2
Apple,174.0,4.0,12.0,12.0,2,3240.0,6.1,2021,999.0,3
Apple,204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,999.0,3
Apple,204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,1099.0,3
Apple,204.0,6.0,12.0,12.0,3,3095.0,6.1,2021,1199.0,3
Apple,238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,1099.0,3
Apple,238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,1199.0,3
Apple,238.0,6.0,12.0,12.0,3,4352.0,6.7,2021,1399.0,3
Apple,135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,699.0,2
Apple,135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,799.0,2
Apple,135.0,4.0,12.0,12.0,1,2227.0,5.4,2020,899.0,2
Apple,164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,799.0,2
Apple,164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,899.0,2
Apple,164.0,4.0,12.0,12.0,2,2815.0,6.1,2020,999.0,3
Apple,189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,999.0,3
Apple,189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,1099.0,3
Apple,189.0,6.0,12.0,12.0,3,2815.0,6.1,2020,1199.0,3
Apple,228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,1099.0,3
Apple,228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,1199.0,3
Apple,228.0,6.0,12.0,12.0,3,3687.0,6.7,2020,1399.0,3
Apple,194.0,4.0,12.0,12.0,2,3110.0,6.1,2019,699.0,2
Apple,194.0,4.0,12.0,12.0,2,3110.0,6.1,2019,799.0,2
Apple,194.0,4.0,12.0,12.0,2,3110.0,6.1,2019,899.0,2
Apple,188.0,4.0,12.0,12.0,3,3046.0,5.8,2019,999.0,3
Apple,188.0,4.0,12.0,12.0,3,3046.0,5.8,2019,1099.0,3
Apple,188.0,4.0,12.0,12.0,3,3046.0,5.8,2019,1199.0,3
Apple,226.0,4.0,12.0,12.0,3,3969.0,6.5,2019,1099.0,3
Apple,226.0,4.0,12.0,12.0,3,3969.0,6.5,2019,1199.0,3
Apple,226.0,4.0,12.0,12.0,3,3969.0,6.5,2019,1399.0,3
Apple,174.0,3.0,7.0,12.0,2,2716.0,5.8,2017,999.0,3
Apple,174.0,3.0,7.0,12.0,2,2716.0,5.8,2017,1099.0,3
Apple,177.0,4.0,7.0,12.0,2,2658.0,5.8,2018,999.0,3
Apple,177.0,4.0,7.0,12.0,2,2658.0,5.8,2018,1099.0,3
Apple,177.0,4.0,7.0,12.0,2,2658.0,5.8,2018,1299.0,3
Apple,208.0,4.0,7.0,12.0,2,3174.0,6.5,2018,1099.0,3
Apple,208.0,4.0,7.0,12.0,2,3174.0,6.5,2018,1249.0,3
Apple,208.0,4.0,7.0,12.0,2,3174.0,6.5,2018,1399.0,3
Apple,194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,749.0,2
Apple,194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,799.0,2
Apple,194.0,3.0,7.0,12.0,2,2942.0,6.1,2018,899.0,2
Samsung,234.0,12.0,12.0,200.0,2,5000.0,6.8,2024,1199.0,3
Samsung,234.0,12.0,12.0,200.0,2,5000.0,6.8,2024,1299.0,3
Samsung,196.0,8.0,12.0,50.0,2,4800.0,6.6,2024,899.0,2
Samsung,196.0,8.0,12.0,50.0,2,4800.0,6.6,2024,999.0,3
Samsung,168.0,8.0,12.0,50.0,2,4000.0,6.1,2024,799.0,2
Samsung,168.0,8.0,12.0,50.0,2,4000.0,6.1,2024,899.0,2
Samsung,228.0,12.0,12.0,200.0,2,5000.0,6.8,2023,1199.0,3
Samsung,228.0,12.0,12.0,200.0,2,5000.0,6.8,2023,1299.0,3
Samsung,196.0,8.0,12.0,50.0,2,4700.0,6.6,2023,899.0,2
Samsung,196.0,8.0,12.0,50.0,2,4700.0,6.6,2023,999.0,3
Samsung,168.0,8.0,12.0,50.0,2,3900.0,6.1,2023,799.0,2
Samsung,168.0,8.0,12.0,50.0,2,3900.0,6.1,2023,899.0,2
Samsung,228.0,12.0,10.0,108.0,2,5000.0,6.8,2022,1099.0,3
